,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,133,velotransportplätze,kinderwagenfreundlicher,raucherabteile,geäussert,rüttelwagen,velohalter,schnarchen,verbingungen,vorausgeplant,wartehäusschen
1,0,2496,ticket,lösen,tickets,app,gelöst,kaufen,billett,online,billet,gekauft
2,1,2552,bahnhöfen,bahn,perron,perrons,bahnhöfe,lift,gleis,rauchverbot,kinderwagen,richtung
3,2,4692,zug,verspätung,minuten,warten,umsteigen,anschluss,anschlusszug,gleis,stunde,fährt
4,3,1543,wagen,klasse,anhängen,klass,wägen,kl,plätze,wägeli,stehen,zug
5,4,1450,maskenpflicht,maske,tragen,masken,kontrolle,kontrollen,trinken,getragen,leute,nase
6,5,2742,züge,strecke,durchsagen,zug,überfüllt,sitze,zügen,fahren,leute,voll
7,6,1861,ga,fahre,gerne,billet,mal,billett,halbtax,kaufen,hund,abo
8,7,1510,gepäck,velos,koffer,plätze,velo,veloplätze,fahrräder,kinderwagen,genügend,sitzplätze
9,8,818,top,job,perfekt,tip,super,service,tiptop,bestens,arbeit,herzlichen
10,9,652,toiletten,toilette,defekt,geschlossen,sauber,sauberkeit,zügen,wc,saubere,benutzbar
11,10,965,sicherheitspersonal,sicherheit,fühle,sicher,abend,abends,sicherheitskräfte,nachts,präsenz,bahnhöfen
12,11,1120,klasse,klassenwechsel,ga,überfüllt,sitzen,klass,voll,stehen,fahrt,ticket
13,12,634,verbessern,pünktlichkeit,pünktlich,sauberkeit,zuverlässigkeit,platzangebot,anschlüsse,ankommen,wc,sauber
14,13,1133,verspätungen,bessere,informationen,informieren,störungen,information,anschlüsse,zugausfälle,verspätung,ausfällen
15,14,1038,wc,sauberkeit,wcs,zügen,geschlossen,sauber,reinigen,defekt,saubere,sauberer
16,15,1011,verbindungen,direkte,verbindung,umsteigen,schnellere,bessere,direktverbindung,halbstundentakt,wochenende,spätere
17,16,1064,fahrt,reise,unterwegs,velo,haltestelle,fahrrad,strecke,app,mal,kostet
18,17,518,klasse,ruhewagen,waggons,einführen,klasswagen,ruheabteile,abteile,komfort,klass,sitze
19,18,438,günstiger,günstigere,preise,ga,studenten,anbieten,billete,billette,tarife,sparbillette
20,19,423,klimaanlage,eingestellt,kalt,klimaanlagen,heiss,einstellen,grad,funktionieren,stark,tief
21,20,657,stosszeiten,platzangebot,einsetzen,längere,züge,sitzplätze,grösseres,randzeiten,zugskompositionen,stehen
22,21,731,zufrieden,grundsätzlich,angebot,ansonsten,leistungen,fahre,gerne,öv,reise,service
23,22,561,wlan,wifi,zügen,internet,gratis,free,lan,kostenloses,freies,zug
24,23,891,kalt,voll,zug,überfüllt,warm,heiss,kühl,lüftung,unangenehm,jacke
25,24,491,speisewagen,bedient,geschlossen,bistro,kaffee,konsumiert,bedienung,betrieb,gerne,take
26,25,329,wagons,wagon,stosszeiten,anhängen,klasse,sitzplatz,stehen,dans,klass,überfüllt
27,26,252,anregungen,umfragen,momentan,io,anregung,kürzere,ansagen,senden,geschwindigkeit,anmerkungen
28,27,203,passt,nix,lambrate,abonnements,preis,gästen,ignoriert,internationalen,anschluss,fahrplan
29,28,559,umsteigezeit,knapp,umsteigezeiten,bemessen,minuten,gleis,rennen,ältere,umsteigen,richtung
30,29,560,schön,toll,gäbe,direkt,froh,super,niveau,zug,kinder,app
31,30,649,anschluss,richtung,tram,verpasst,fährt,anschlüsse,busse,verspätung,stunde,wartezeit
32,31,235,siehe,erwähnt,kommentar,bemerkungen,vorherige,vorherigen,vorne,beschrieben,vorheriger,bemerkung
33,32,312,ok,bestens,okay,top,fahrt,flieger,gruss,1h,traverso,geklappt
34,33,396,corona,zeiten,coronazeiten,züge,coronazeit,leute,kontrollen,voll,zug,zügen
35,34,282,rollmaterial,besseres,einsetzen,neueres,moderneres,strecke,bombardier,erneuern,einsatz,rollmaterials
36,35,292,senken,billiger,preise,billigere,preis,tiefere,billetpreise,ga,billette,preisen
37,36,426,sparbillette,anbieten,sparbillete,sparbilette,verfügbar,libero,einführen,strecke,schade,kurzfristig
38,37,864,verbindung,verbindungen,angezeigt,app,fahrplan,umsteigen,stunde,20,schneller,wartezeit
39,38,231,getränke,kaffee,bistro,snacks,beschränkt,getränken,snack,wägeli,tisch,vermisst
40,39,297,angebote,angebot,sparangebote,günstigere,ga,vergünstigungen,pendler,studenten,spartageskarten,sparbillett
41,40,296,sommer,winter,stark,heizen,temperatur,gekühlt,kühlen,grad,klimaanlage,temperaturen
42,41,269,personal,freundliches,zufrieden,freundlicher,zugpersonal,freundliche,freundlich,kompetentes,nettes,busfahrer
43,42,369,schuhe,füsse,laut,türen,kinder,musik,fehlt,stört,frage,kunden
44,43,175,klasse,plätze,sitzplätze,sitzplatz,freie,platzangebot,kaffee,freien,platzmangel,erweitern
45,44,281,verfügung,stellen,stehen,sitzplätze,veloplätze,plätze,genügend,stand,sparbillette,fragen
46,45,209,gruppe,gruppen,reserviert,plätze,reservation,reservierten,angeschrieben,reservierte,gruppenreservationen,reservationen
47,46,655,app,super,mobile,the,funktioniert,bls,and,juniorkarte,is,to
48,47,234,koffer,gepäckablagen,ablage,gepäckablage,klein,sitzen,ablageflächen,rucksäcke,grössere,koffern
49,48,337,zugbegleiter,freundlich,zugbegleiterin,innen,zugbegleitung,nett,zugbegleiterinnen,freundliche,hilfsbereit,kompliment
50,49,462,umfrage,fragen,fragebogen,befragung,umfragen,beantwortet,kürzer,beantworten,fahrt,dauert
51,50,229,pünktlichkeit,zuverlässigkeit,sauberkeit,verspätungen,verbessert,fall,verlässlichkeit,problem,züge,deutschland
52,51,340,preis,leistung,anpassen,leistungsverhältnis,stimmt,chf,halbtax,strecke,billiger,leistungsverhältniss
53,52,233,wünschenswert,usb,empfang,wlan,stromanschlüsse,stromanschluss,zügen,strecke,zug,kaffeewägeli
54,53,190,ordnung,öv,gibts,dankeschön,sorgen,homeoffice,sirup,fahrt,cool,freude
55,54,209,wünschen,übrig,lässt,sauberkeit,manchmal,pünktlichkeit,zügen,kalender,sitze,züge
56,55,216,regel,fahrten,datum,strecke,schade,take,away,woche,fahrgästen,mal
57,56,475,teuer,halbtax,zugfahren,preis,kurze,schweiz,chf,ga,öv,hund
58,57,160,bahnfahrt,busfahrt,zugreise,postauto,busreise,schifffahrt,fahrt,reise,ptt,busstation
59,58,133,reduzieren,installieren,abfalleimer,desinfektionsmittel,garantieren,markieren,preise,montieren,flugzug,wickeltische
60,59,215,wünsche,spartickets,wünschen,kontrollen,ebike,app,kürzere,kapazitäten,nachtzüge,angebot
61,60,306,möglichkeiten,kinderwagen,möglichkeit,verstauen,gepäckstücke,velo,bessere,reisen,velowagen,koffer
62,61,304,sitzplätze,stehen,genügend,belegt,gepäck,sitzplatz,vorhanden,passagiere,belegen,internetverbindung
63,62,388,preise,teuer,billette,halbtax,erhöhen,fahrpreise,öv,überteuert,billete,ga
64,63,106,bilette,bilett,bilet,app,kaufen,bilettpreise,einfacher,decke,gelöst,kondukteur
65,64,239,steckdosen,fehlen,steckdose,laden,zügen,handy,laptop,geräte,abfalleimer,usb
