,0
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_96T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_94T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_92T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_90T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_88T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_86T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_84T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_82T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_80T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_78T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_76T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_74T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_72T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_70T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_68T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_66T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_64T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_62T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_60T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_58T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_56T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_54T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_52T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_50T.model,
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_48T.model,-0.5870833790090406
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_46T.model,-0.5845776586167967
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_44T.model,-0.5694058957252598
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_42T.model,-0.5667442669385025
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_40T.model,-0.5489231839161646
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_38T.model,-0.5226131857029658
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_36T.model,-0.5119868884727521
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_34T.model,-0.5230664102928514
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_32T.model,-0.5057669522947242
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_30T.model,-0.4767235047666302
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_28T.model,-0.4707837992991948
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_26T.model,-0.4375869278094124
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_24T.model,-0.3903146027337991
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_22T.model,-0.37098885066361414
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_20T.model,-0.32946552451529204
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_18T.model,-0.2966531088775704
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_16T.model,-0.26555115868617496
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_14T.model,-0.26750894013807286
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_12T.model,-0.23957016297045497
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_10T.model,-0.22053067922613134
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_8T.model,-0.1952961854953967
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_6T.model,-0.1560786443286215
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_4T.model,-0.10859498365813736
