Modelname,cv_score,topics
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_96T.model,0.68909322,96
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_94T.model,0.686088978,94
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_92T.model,0.686326016,92
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_90T.model,0.686719082,90
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_88T.model,0.688050351,88
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_86T.model,0.688271015,86
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_84T.model,0.689544362,84
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_82T.model,0.686296328,82
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_80T.model,0.688559818,80
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_78T.model,0.693310127,78
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_76T.model,0.696763636,76
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_74T.model,0.701089387,74
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_72T.model,0.707881975,72
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_70T.model,0.710437112,70
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_68T.model,0.712517784,68
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_66T.model,0.720875049,66
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_64T.model,0.722123192,64
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_62T.model,0.72807483,62
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_60T.model,0.726615326,60
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_58T.model,0.725549763,58
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_56T.model,0.729137122,56
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_54T.model,0.724258739,54
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_52T.model,0.720421308,52
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_50T.model,0.718164585,50
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_48T.model,0.717545314,48
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_46T.model,0.714855812,46
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_44T.model,0.704725985,44
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_42T.model,0.708524013,42
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_40T.model,0.703854756,40
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_38T.model,0.699817647,38
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_36T.model,0.700286765,36
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_34T.model,0.704182158,34
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_32T.model,0.694543497,32
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_30T.model,0.694891463,30
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_28T.model,0.698644475,28
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_26T.model,0.69298621,26
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_24T.model,0.693011414,24
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_22T.model,0.687531586,22
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_20T.model,0.684751233,20
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_18T.model,0.698408684,18
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_16T.model,0.708060055,16
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_14T.model,0.700770709,14
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_12T.model,0.676267969,12
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_10T.model,0.681669705,10
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_8T.model,0.677924531,8
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_6T.model,0.675595679,6
BERTTopic_paraphrase-multilingual-MiniLM-L12-v2_4T.model,0.637019137,4
