,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,18717,zug,klasse,züge,strecke,fahrt,verbindung,app,wagen,minuten,verspätung
1,0,6405,speisewagen,gepäck,zug,koffer,zufrieden,teuer,kaffee,umfrage,preise,durchsagen
2,1,3701,verspätung,zug,minuten,verspätungen,umsteigen,anschluss,verbindung,stunde,verpasst,strecke
3,2,1735,wc,toiletten,wcs,toilette,defekt,geschlossen,sauberkeit,sauber,zügen,saubere
4,3,1542,app,ticket,lösen,mobile,billet,kaufen,billett,gelöst,funktioniert,gekauft
5,4,1486,maske,maskenpflicht,masken,tragen,getragen,leute,kontrolle,nase,personen,trinken
6,5,1304,züge,zügen,zug,sauberkeit,stosszeiten,längere,klasse,überfüllt,wagen,voll
7,6,1270,klimaanlage,kalt,eingestellt,sommer,temperatur,stark,warm,heiss,grad,kühl
8,7,1201,postauto,busse,anschluss,fährt,minuten,warten,verspätung,busverbindung,haltestelle,fahren
9,8,748,kinderwagen,wagen,familienwagen,kinder,familien,wagons,kindern,anhängen,spielwagen,stosszeiten
10,9,721,klasse,studenten,ga,klassenwechsel,studierende,wagen,klass,preise,schüler,plätze
11,10,631,tickets,ticket,spartickets,günstigere,ticketpreise,günstiger,teuer,gültig,bilette,preis
12,11,623,sicherheitspersonal,abend,abends,sicherheit,fühle,sicherheitskräfte,nachts,bahnhöfen,sicher,präsenz
13,12,518,fahrrad,fahrräder,bike,bikes,velo,reservation,fahrrädern,unterwegs,plätze,fahrradplätze
14,13,442,sitzplätze,sitze,sitzplatz,sitzen,plätze,sitz,sitzgelegenheiten,stosszeiten,taschen,verfügung
15,14,421,wlan,wifi,gratis,free,zügen,zug,kostenloses,steckdosen,freies,anbieten
16,15,351,schweiz,teuer,öv,ticket,schweizer,preise,chf,strecke,halbtax,kosten
17,16,280,preise,preis,billiger,günstiger,günstigere,leistung,billigere,leistungsverhältnis,anpassen,tarife
18,17,235,telefonieren,laut,handy,gespräche,laute,störend,ruhewagen,telefoniert,kopfhörer,telefongespräche
19,18,215,velos,velotransport,velo,reservation,reservationspflicht,veloplätze,reservationen,reise,reservierung,velotransportmöglichkeiten
20,19,215,hund,hunde,gratis,ga,teuer,sitz,lösen,bezahlen,ticket,hundetageskarte
21,20,207,sauberkeit,reinigung,reinigen,sauberer,züge,reinigungspersonal,verbessern,sauber,putzen,gereinigt
22,21,200,abfalleimer,abfall,abfallbehälter,abfallkübel,entsorgen,liegen,leeren,abteilen,müll,mülleimer
23,22,151,corona,zeiten,züge,coronazeit,massnahmen,voll,coronamassnahmen,klasse,situation,verkürzten
24,23,148,rollstuhl,rollstuhlfahrer,kinderwagen,gehbehinderte,behinderte,rollstuhlgängig,hilfe,aussteigen,lift,rampe
25,24,147,top,tip,tiptop,tipptopp,tipp,treno,gottardo,bestens,paletti,super
26,25,140,s11,s9,minuten,s12,s2,wartezeit,s8,fährt,umsteigezeit,anschluss
27,26,133,verbindungen,bessere,direkte,verbindung,schnellere,häufigere,spätere,direktverbindung,verbessern,regionale
28,27,132,service,herzlichen,bestens,dienstleistung,tolle,top,arbeit,super,dankeschön,merci
29,28,130,swisspass,pass,app,zeigen,vorweisen,online,karte,login,passwort,halbtax
30,29,122,rollmaterial,besseres,einsetzen,neueres,moderneres,rollmaterials,strecke,material,erneuern,rollenmaterial
31,30,118,internet,internetverbindung,internetzugang,online,bessere,netz,internetverbindungen,stabile,empfang,verbessern
32,31,111,nei,non,,,,,,,,
33,32,93,bombardier,schüttelbecher,züge,dans,dosto,fahrkomfort,stadler,schaukeln,qui,est
34,33,92,informieren,informationen,störungen,information,bessere,genauere,störungsfällen,infos,pünktlicher,info
35,34,91,easy,ride,easyride,funktioniert,dreht,ticket,lösen,standort,button,fahrt
36,35,88,ski,gepäck,skis,snow,winter,stauraum,snowboard,snowboards,skier,rail
37,36,64,none,at,this,time,,,,,,
38,37,59,schmutzig,verschmutzt,züge,dreckig,unglaublich,zug,sitze,zugabteil,stinkt,geruch
39,38,54,laptop,arbeiten,tische,steckdosen,laptops,arbeitsplätze,fensterplatz,pc,klasse,tischen
