,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,133,velotransportplätze,kinderwagenfreundlicher,raucherabteile,geäussert,rüttelwagen,velohalter,schnarchen,verbingungen,vorausgeplant,wartehäusschen
1,0,8165,zug,verspätung,züge,minuten,zufrieden,strecke,warten,umsteigen,anschluss,gleis
2,1,3141,fahrt,ga,fahre,mal,gerne,reise,billet,billett,unterwegs,schade
3,2,2712,bahnhöfen,bahn,perron,perrons,bahnhöfe,lift,gleis,kinderwagen,rauchverbot,richtung
4,3,2496,ticket,lösen,tickets,app,gelöst,kaufen,billett,billet,online,gekauft
5,4,1875,verbindung,verbindungen,direkte,umsteigen,app,angezeigt,fahrplan,bessere,schnellere,stunde
6,5,1785,super,ok,app,bestens,top,job,perfekt,service,mobile,tip
7,6,1744,gepäck,velos,koffer,plätze,velo,veloplätze,fahrräder,kinderwagen,koffern,sitzen
8,7,1638,klasse,klassenwechsel,ga,klass,überfüllt,waggons,voll,sitzen,ruhewagen,klasswagen
9,8,1543,wagen,klasse,anhängen,klass,plätze,zug,kl,wägen,stehen,stosszeiten
10,9,1450,maskenpflicht,maske,tragen,masken,kontrolle,kontrollen,leute,trinken,getragen,nase
11,10,1402,verspätungen,bessere,informationen,personal,informieren,störungen,information,anschlüsse,freundliches,verspätung
12,11,1038,wc,sauberkeit,wcs,zügen,geschlossen,sauber,reinigen,defekt,saubere,sauberer
13,12,965,sicherheitspersonal,sicherheit,fühle,sicher,abend,abends,sicherheitskräfte,nachts,präsenz,bahnhöfen
14,13,891,kalt,voll,zug,überfüllt,warm,heiss,kühl,lüftung,unangenehm,jacke
15,14,863,pünktlichkeit,verbessern,pünktlich,sauberkeit,zuverlässigkeit,züge,anschlüsse,platzangebot,verbessert,verspätungen
16,15,728,preise,preis,leistung,anpassen,teuer,leistungsverhältnis,halbtax,stimmt,chf,billette
17,16,714,umfrage,fragen,anregungen,fragebogen,umfragen,befragung,beantwortet,fahrt,kürzer,beantworten
18,17,657,stosszeiten,platzangebot,einsetzen,züge,längere,sitzplätze,grösseres,randzeiten,strecke,stehen
19,18,652,toiletten,toilette,defekt,geschlossen,sauber,sauberkeit,zügen,wc,saubere,zug
20,19,649,anschluss,richtung,tram,verpasst,fährt,anschlüsse,busse,verspätung,stunde,wartezeit
21,20,561,wlan,wifi,zügen,internet,gratis,free,lan,kostenloses,zug,freies
22,21,560,schön,toll,gäbe,direkt,froh,super,zug,niveau,app,züge
23,22,559,umsteigezeit,knapp,umsteigezeiten,bemessen,minuten,gleis,rennen,ältere,umsteigen,richtung
24,23,491,speisewagen,geschlossen,bedient,bistro,kaffee,konsumiert,bedienung,betrieb,gerne,take
25,24,479,sitzplätze,klasse,plätze,sitzplatz,stehen,freie,genügend,freien,vorhanden,belegt
26,25,475,teuer,halbtax,zugfahren,preis,kurze,schweiz,ga,chf,öv,preise
27,26,448,wünschenswert,wünsche,spartickets,wünschen,zügen,zug,wlan,strecke,usb,empfang
28,27,438,günstiger,günstigere,preise,ga,studenten,anbieten,billete,billette,sparbillette,tarife
29,28,426,sparbillette,anbieten,sparbillete,sparbilette,verfügbar,einführen,libero,strecke,schade,kurzfristig
30,29,423,klimaanlage,eingestellt,kalt,klimaanlagen,heiss,einstellen,grad,stark,funktionieren,tief
31,30,396,corona,zeiten,coronazeiten,züge,leute,coronazeit,zug,kontrollen,zügen,voll
32,31,369,schuhe,füsse,laut,türen,kinder,musik,fehlt,stört,kunden,frage
33,32,337,zugbegleiter,freundlich,zugbegleiterin,innen,zugbegleitung,nett,zugbegleiterinnen,freundliche,hilfsbereit,kompliment
34,33,329,wagons,wagon,stosszeiten,anhängen,klasse,stehen,sitzplatz,überfüllt,klass,dans
35,34,306,möglichkeiten,kinderwagen,möglichkeit,verstauen,gepäckstücke,velo,bessere,reisen,velowagen,koffer
36,35,297,angebote,angebot,sparangebote,günstigere,ga,vergünstigungen,pendler,studenten,spartageskarten,sparbillett
37,36,296,sommer,winter,stark,heizen,temperatur,gekühlt,kühlen,grad,klimaanlage,temperaturen
38,37,292,senken,preise,billiger,billigere,preis,tiefere,billetpreise,ga,billette,preisen
39,38,282,rollmaterial,besseres,einsetzen,neueres,moderneres,strecke,bombardier,erneuern,einsatz,rollmaterials
40,39,281,verfügung,stellen,stehen,sitzplätze,veloplätze,plätze,genügend,stand,sparbillette,fragen
41,40,239,steckdosen,fehlen,steckdose,laden,zügen,handy,laptop,geräte,abfalleimer,usb
42,41,235,siehe,erwähnt,kommentar,bemerkungen,vorherige,vorherigen,vorne,beschrieben,vorheriger,bemerkung
43,42,231,getränke,kaffee,bistro,snacks,beschränkt,getränken,snack,wägeli,tisch,vermisst
44,43,209,gruppe,gruppen,reserviert,plätze,reservation,reservierten,angeschrieben,reservierte,gruppenreservationen,personen
45,44,209,wünschen,übrig,lässt,sauberkeit,manchmal,pünktlichkeit,zügen,sitze,kalender,züge
46,45,203,passt,nix,lambrate,preis,abonnements,gästen,ignoriert,internationalen,anschluss,fahrplan
47,46,190,ordnung,öv,gibts,dankeschön,sorgen,homeoffice,sirup,fahrt,cool,freude
48,47,133,reduzieren,installieren,abfalleimer,desinfektionsmittel,garantieren,preise,markieren,montieren,flugzug,wickeltische
49,48,106,bilette,bilett,bilet,app,kaufen,bilettpreise,einfacher,decke,gelöst,kondukteur
