,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,349,velofreundlicher,2sicherheitskräfte,kiosk9,umsteigebrücke,sichserheitsleute,strichend,schnarchen,schattenplatz,velohalter,velohalterungen
1,0,9477,zug,umsteigen,verbindung,strecke,ga,gleis,fahren,überfüllt,umfrage,minuten
2,1,3317,verspätung,verspätungen,minuten,zug,pünktlichkeit,anschluss,warten,verpasst,anschlusszug,pünktlich
3,2,2750,app,ticket,lösen,billet,kaufen,billett,mobile,gelöst,angezeigt,gekauft
4,3,2511,speisewagen,perron,sparbillette,kaffee,bistro,rauchen,rauchverbot,perrons,raucher,bahnhöfen
5,4,1850,wc,toiletten,wcs,toilette,defekt,geschlossen,sauberkeit,sauber,zügen,saubere
6,5,1654,postauto,busse,anschluss,fährt,haltestelle,warten,minuten,verbindung,fahrplan,verspätung
7,6,1570,klasse,wagen,klassenwechsel,klass,studenten,ga,plätze,voll,überfüllt,stosszeiten
8,7,1494,maskenpflicht,maske,masken,tragen,getragen,leute,kontrolle,personen,nase,trinken
9,8,1452,zufrieden,super,ok,job,angebot,perfekt,öv,grundsätzlich,gerne,personal
10,9,1384,kalt,klimaanlage,sommer,eingestellt,temperatur,stark,heiss,warm,grad,winter
11,10,1209,sauberkeit,zügen,verbessern,wünschen,züge,übrig,kontrollen,lässt,reinigen,sauber
12,11,1191,züge,stosszeiten,längere,überfüllt,einsetzen,voll,fahren,strecke,zügen,zug
13,12,991,gepäck,koffer,koffern,stauraum,verstauen,gepäckstücke,reisegepäck,grössere,zügen,sitzen
14,13,965,abend,sicherheit,abends,fühle,sicherheitspersonal,sicher,nachts,sicherheitskräfte,bahnhöfen,präsenz
15,14,763,tickets,spartickets,günstigere,günstiger,ticket,ticketpreise,teuer,billigere,anbieten,bilette
16,15,715,zugbegleiter,personal,freundlich,kunden,zugpersonal,freundliches,zugbegleiterin,innen,kontrolleure,hilfsbereit
17,16,715,wagen,wagons,anhängen,stosszeiten,wagon,waggons,plätze,kl,stehen,reserviert
18,17,678,verbindungen,verbindung,direkte,bessere,schnellere,spätere,stunde,richtung,umsteigen,anschlüsse
19,18,642,telefonieren,handy,steckdosen,laut,musik,laute,laden,störend,ruhewagen,telefoniert
20,19,628,schweiz,öv,teuer,zonen,chf,zone,schweizer,ticket,kostet,strecke
21,20,627,preise,preis,billiger,günstigere,leistung,günstiger,anpassen,leistungsverhältnis,öv,tiefere
22,21,611,sitzplätze,sitzplatz,sitze,stosszeiten,verfügung,plätze,stellen,reserviert,genügend,sitzgelegenheiten
23,22,591,fahrrad,fahrräder,bike,bikes,velo,reservation,unterwegs,fahrrädern,plätze,velos
24,23,584,fahrt,reise,gefahren,unterwegs,angenehme,schön,angenehm,schiffsreise,zug,fahrten
25,24,564,wlan,wifi,gratis,free,zügen,lan,kostenloses,zug,anbieten,steckdosen
26,25,430,teuer,preise,preis,billette,halbtax,chf,kurze,öv,strecke,zonen
27,26,408,kinderwagen,lift,treppe,treppen,rampe,familienwagen,unterwegs,velo,kindern,rampen
28,27,360,störungen,informieren,informationen,information,bessere,infos,kommunikation,störung,reisenden,schneller
29,28,355,abfalleimer,abfall,schmutzig,abfallbehälter,abfallkübel,liegen,entsorgen,leeren,liegt,fehlen
30,29,348,kinderwagen,kinder,familienwagen,familien,kindern,kind,familienabteil,velos,spielplatz,familie
31,30,295,service,bestens,arbeit,herzlichen,super,tollen,gepasst,top,dienstleistung,tolle
32,31,272,wartezeit,s11,s8,s12,s2,s9,anschluss,s24,minuten,verbindung
33,32,265,corona,zeiten,einhalten,züge,abstand,situation,klasse,coronazeit,voll,zug
34,33,246,velo,reservation,velos,reservationen,reservationspflicht,plätze,reservierung,veloplätze,veloverlad,velomitnahme
35,34,232,hund,hunde,gratis,sitz,ga,teuer,lösen,bezahlen,hundetageskarte,ticket
36,35,229,rollmaterial,besseres,einsetzen,moderneres,neueres,strecke,rollmaterials,erneuern,infrastruktur,genügend
37,36,224,anzeigetafeln,anzeige,anzeigen,stationen,sektor,perrons,angezeigt,beschilderung,nächsten,haltestellen
38,37,221,internet,internetverbindung,internetzugang,schalter,empfang,zug,zügen,billett,netz,lösen
39,38,212,türen,türe,öffnen,defekt,defekte,tür,geöffnet,aussteigen,automatisch,schliessen
40,39,208,swisspass,pass,juniorkarte,app,online,karte,login,zeigen,halbtax,hinterlegt
41,40,195,rollstuhl,rollstuhlfahrer,kinderwagen,aussteigen,behinderte,menschen,hilfe,gehbehinderte,ausstieg,rampe
42,41,185,ride,easy,easyride,funktioniert,app,lösen,starten,standort,funktion,ticket
43,42,184,bombardier,dosto,züge,stadler,schüttelbecher,fahrkomfort,schaukeln,alten,schüttelt,dans
44,43,176,nei,none,me,eifach,we,no,debi,söt,fasch,potemonai
45,44,175,top,tip,tiptop,io,tipptopp,ol,super,passt,tipp,festtage
46,45,160,sitze,dreckig,gereinigt,schmuddelig,reinigen,verschmutzt,schmutzig,stoffsitze,sauber,sitzpolster
47,46,144,sicherheitspersonal,sicherheitskräfte,präsenz,sicherheit,personal,polizei,security,wünschenswert,sicherer,kontrollen
48,47,127,laptop,arbeiten,tische,tisch,steckdosen,pc,fensterplatz,laptops,tischen,klasse
49,48,108,ski,gepäck,skis,stauraum,winter,rail,snow,snowboard,ausrüstung,ablageflächen
